cp_ville,Région,Département,Gazole,SP98,SP95,E85,E10,GPLc,Latitude,Longitude,Nombre de stations
79310 Mazières-en-Gâtine,Nouvelle-Aquitaine,Deux-Sèvres,1.915,1.99,,,1.905,,46.546,-0.314,1
79320 Moncoutant-sur-Sèvre,Nouvelle-Aquitaine,Deux-Sèvres,1.799,1.879,,,1.789,,46.731,-0.579,1
79330 Saint-Varent,Nouvelle-Aquitaine,Deux-Sèvres,1.819,1.847,1.818,,1.782,,46.894,-0.234,1
79360 Beauvoir-sur-Niort,Nouvelle-Aquitaine,Deux-Sèvres,1.809,,1.839,0.998,1.809,,46.184,-0.472,1
79370 Aigondigné,Nouvelle-Aquitaine,Deux-Sèvres,1.929,1.999,1.969,,,,46.29288,-0.29062,1
79370 Celles-sur-Belle,Nouvelle-Aquitaine,Deux-Sèvres,1.833,1.882,,,1.824,,46.268,-0.224,1
79390 Thénezay,Nouvelle-Aquitaine,Deux-Sèvres,1.933,1.989,1.977,,1.976,,46.718961169523,-0.025695969169084,1
79400 Azay-le-Brûlé,Nouvelle-Aquitaine,Deux-Sèvres,1.785,1.862,1.825,,1.78,1.019,46.40727,-0.225,1
79400 Saint-Maixent-l'École,Nouvelle-Aquitaine,Deux-Sèvres,1.838,1.882,,,1.822,,46.418,-0.195,1
79410 Échiré,Nouvelle-Aquitaine,Deux-Sèvres,1.789,1.869,,0.969,1.789,,46.38889661,-0.42539277000000003,1
79430 La Chapelle-Saint-Laurent,Nouvelle-Aquitaine,Deux-Sèvres,1.97,,1.98,,,,46.748,-0.476,1
79460 Magné,Nouvelle-Aquitaine,Deux-Sèvres,1.809,1.889,1.839,0.969,1.789,,46.316,-0.557,1
79500 Fontivillié,Nouvelle-Aquitaine,Deux-Sèvres,1.96,,,,1.91,,46.205,-0.097,1
79500 Melle,Nouvelle-Aquitaine,Deux-Sèvres,1.8413333333333333,1.879,1.959,0.9884999999999999,1.789,,46.22533333333333,-0.13266666666666668,3
79600 Airvault,Nouvelle-Aquitaine,Deux-Sèvres,1.809,1.869,,,1.799,,46.825,-0.129,1
79600 Plaine-et-Vallées,Nouvelle-Aquitaine,Deux-Sèvres,,,,,,,46.885,-0.05946,1
79700 Mauléon,Nouvelle-Aquitaine,Deux-Sèvres,1.79,1.878,,0.959,1.792,,46.92208,-0.7386,1
79800 La Mothe-Saint-Héray,Nouvelle-Aquitaine,Deux-Sèvres,1.931,1.962,1.937,,,,46.368732283435,-0.11752827458271001,1
79800 Pamproux,Nouvelle-Aquitaine,Deux-Sèvres,2.0195,2.0195,,1.259,1.994,1.0685,46.452326658366005,-0.0168867319602655,2
80000 Amiens,Hauts-de-France,Somme,1.8828,1.9532,,0.996,1.8718,,49.896680498030996,2.2858801305299,5
80000 Dury,Hauts-de-France,Somme,1.823,,,0.998,1.804,,49.871,2.3,1
80046 Amiens,Hauts-de-France,Somme,1.959,2.049,,,1.929,,49.927854100000005,2.2867745999999998,1
80080 Amiens,Hauts-de-France,Somme,1.8515000000000001,1.908,,1.0105,1.8479999999999999,,49.914996251286496,2.31101466833055,2
80090 Amiens,Hauts-de-France,Somme,1.969,2.059,,,1.959,,49.8795,2.3200000000000003,2
80100 Abbeville,Hauts-de-France,Somme,1.8476666666666668,1.9101666666666668,1.882,0.9933333333333333,1.83,0.899,50.11090640431701,1.8346997493945498,6
80110 Moreuil,Hauts-de-France,Somme,1.9060000000000001,1.9495,,0.994,1.8895,,49.789,2.473,2
80120 Quend,Hauts-de-France,Somme,1.919,1.974,1.936,,,,50.331,1.589,1
80120 Rue,Hauts-de-France,Somme,1.8655,1.923,1.897,,1.844,,50.273486999999996,1.6634145900000001,3
80130 Friville-Escarbotin,Hauts-de-France,Somme,1.839,1.909,,0.999,1.809,,50.07400305217,1.5369777407813,1
80135 Saint-Riquier,Hauts-de-France,Somme,1.899,1.949,1.929,0.998,,,50.129,1.942,1
80136 Rivery,Hauts-de-France,Somme,1.728,1.849,1.86,0.953,1.79,,49.907505,2.3321199999999997,2
80140 Le Translay,Hauts-de-France,Somme,2.394,2.414,2.199,,2.314,1.429,49.96327662085599,1.6574381798896498,2
80140 Oisemont,Hauts-de-France,Somme,1.857,1.927,1.95,0.998,1.799,,49.9585,1.766,2
80150 Crécy-en-Ponthieu,Hauts-de-France,Somme,1.895,1.949,1.929,,,,50.251767199999996,1.8843509,1
80160 Conty,Hauts-de-France,Somme,1.9445000000000001,1.96,1.939,1.31,,,49.739795,2.1529800000000003,2
80170 Rosières-en-Santerre,Hauts-de-France,Somme,1.837,1.865,,0.998,1.831,,49.826,2.712,1
80190 Nesle,Hauts-de-France,Somme,1.92,1.9665,,,1.893,,49.762,2.9175,2
80200 Assevillers,Hauts-de-France,Somme,2.014,2.099,,1.234,2.024,1.094,49.887896440808,2.8388885496774,2
80200 Péronne,Hauts-de-France,Somme,1.8503333333333334,1.868,,0.977,1.8339999999999999,,49.935215,2.9351925000000003,4
80210 Feuquières-en-Vimeu,Hauts-de-France,Somme,1.883,1.938,1.859,,0.914,,50.062268515,1.599778325,2
80220 Bouttencourt,Hauts-de-France,Somme,1.887,1.922,1.894,,,,49.93908,1.62364,1
80220 Gamaches,Hauts-de-France,Somme,1.9115000000000002,1.899,1.9055,,,,49.98348865,1.56815518125,2
80230 Boismont,Hauts-de-France,Somme,1.84,1.904,1.881,,,,50.172,1.649,1
80230 Saint-Valery-sur-Somme,Hauts-de-France,Somme,1.8725,1.9355,,0.998,1.863,,50.174366546482005,1.6432360125816,2
80240 Roisel,Hauts-de-France,Somme,1.889,1.939,1.909,,,,49.948,3.108,1
80250 Ailly-sur-Noye,Hauts-de-France,Somme,1.817,1.877,,0.998,1.811,,49.750488813391,2.359071858947,1
80260 Flesselles,Hauts-de-France,Somme,1.844,1.894,,0.998,1.84,,50.001,2.258,1
80260 Rainneville,Hauts-de-France,Somme,1.99,,,,1.99,,49.9700772,2.352799,1
80260 Villers-Bocage,Hauts-de-France,Somme,1.867,1.905,1.883,,,,50.0014,2.31608,1
80270 Airaines,Hauts-de-France,Somme,1.855,1.93,,,1.856,,49.974,1.941,1
80290 Croixrault,Hauts-de-France,Somme,1.89,1.925,,1.019,1.835,,49.80777,1.96835,1
80290 Gauville,Hauts-de-France,Somme,1.849,1.915,1.892,,1.853,,49.781,1.792,1
80290 Morvillers-Saint-Saturnin,Hauts-de-France,Somme,1.937,1.99,,,1.914,,49.778,1.822,1
80290 Poix-de-Picardie,Hauts-de-France,Somme,1.9003333333333334,1.9453333333333334,,0.998,1.8833333333333335,,49.774915860346006,1.9842177327489665,3
80300 Albert,Hauts-de-France,Somme,1.8719999999999999,1.849,,0.999,1.834,1.014,50.004333333333335,2.6653333333333333,3
80320 Chaulnes,Hauts-de-France,Somme,1.899,1.92,,,1.869,,49.81593,2.80259,1
80330 Longueau,Hauts-de-France,Somme,1.932,1.99,,0.994,1.924,,49.86785,2.3685,1
80340 Bray-sur-Somme,Hauts-de-France,Somme,1.8875000000000002,1.949,1.929,,,,49.93824673443601,2.7180941932541,2
80350 Mers-les-Bains,Hauts-de-France,Somme,1.839,1.909,,0.935,1.809,,50.06,1.41,1
80370 Bernaville,Hauts-de-France,Somme,1.849,,1.849,1.099,,,50.131,2.172,1
80380 Villers-Bretonneux,Hauts-de-France,Somme,2.049,2.169,,,2.059,1.079,49.855,2.522,1
80400 Ham,Hauts-de-France,Somme,1.856,1.889,,,1.838,,49.742,3.091,1
80400 Muille-Villette,Hauts-de-France,Somme,1.791,1.85,,0.956,1.785,,49.73049,3.06743,1
80410 Cayeux-sur-Mer,Hauts-de-France,Somme,1.883,1.938,1.917,,,,50.18162531,1.4939855499999999,1
80420 Flixecourt,Hauts-de-France,Somme,1.845,1.8995,,0.998,1.842,,50.0195,2.0805,2
80430 Beaucamps-le-Vieux,Hauts-de-France,Somme,1.894,,1.898,1.055,,,49.842,1.778,1
80440 Glisy,Hauts-de-France,Somme,1.788,1.869,,,1.795,1.029,49.864557199488004,2.3767646016129,1
80450 Camon,Hauts-de-France,Somme,1.836,1.889,,0.998,1.829,,49.90033,2.34092,1
80460 Ault,Hauts-de-France,Somme,1.879,1.925,1.879,,,,50.09824,1.4559,1
80470 Ailly-sur-Somme,Hauts-de-France,Somme,2.099,,,,2.089,,49.92917,2.19471,1
80470 Dreuil-lès-Amiens,Hauts-de-France,Somme,1.962,1.99,,,1.924,,49.914,2.235,1
80480 Dury,Hauts-de-France,Somme,1.9005,1.9445000000000001,,0.994,1.8765,1.019,49.8615,2.276,2
80480 Saleux,Hauts-de-France,Somme,1.848,1.889,,,1.815,,49.86238,2.23121,1
80480 Salouël,Hauts-de-France,Somme,1.8325,1.959,,,1.8365,,49.8705,2.2510000000000003,2
80500 Montdidier,Hauts-de-France,Somme,1.864,1.887,,0.979,1.8456666666666666,,49.647146666666664,2.58133,3
80510 Fontaine-sur-Somme,Hauts-de-France,Somme,1.929,1.909,,1.019,1.849,,50.029,1.943,1
80550 Le Crotoy,Hauts-de-France,Somme,1.919,1.959,1.937,,,,50.217,1.625,1
80560 Acheux-en-Amiénois,Hauts-de-France,Somme,1.875,1.899,,0.999,1.832,,50.07166,2.5291,1
80570 Dargnies,Hauts-de-France,Somme,1.87,1.879,1.859,,,,50.04475,1.52562,1
80580 Pont-Remy,Hauts-de-France,Somme,1.795,1.848,,,1.789,,50.058008,1.9002544000000001,1
80600 Doullens,Hauts-de-France,Somme,1.8525,1.8843333333333334,,0.998,1.838,,50.15964104375799,2.3471998440491,4
80690 Ailly-le-Haut-Clocher,Hauts-de-France,Somme,1.959,,1.99,,,,50.0788052,1.9955359,1
80700 Roye,Hauts-de-France,Somme,1.8763333333333334,1.9645,,0.999,1.823,,49.7054283,2.774017433333333,3
80800 Corbie,Hauts-de-France,Somme,1.89,1.924,,,1.853,,49.908,2.51,1
80800 Fouilloy,Hauts-de-France,Somme,1.859,1.879,,,1.819,,49.8995086446915,2.498340017,2
80800 Villers-Bretonneux,Hauts-de-France,Somme,1.9209999999999998,1.924,,,1.889,,49.8655,2.518,2
80850 Berteaucourt-les-Dames,Hauts-de-France,Somme,1.844,1.909,,0.998,1.84,,50.046,2.148,1
80860 Nouvion,Hauts-de-France,Somme,1.879,1.919,1.889,,,,50.2117728505,1.77888380782,1
80970 Sailly-Flibeaucourt,Hauts-de-France,Somme,2.419,2.399,,,2.279,1.408,50.167279526076996,1.7547637895941002,1
81000 Albi,Occitanie,Tarn,1.8992499999999999,1.943125,1.9515,0.9989999999999999,1.8891666666666669,1.046,43.929061345,2.15493344,8
81100 Castres,Occitanie,Tarn,1.8305,1.8782857142857143,1.845,0.9805999999999999,1.781375,0.917,43.604490000000006,2.241689,10
81120 Réalmont,Occitanie,Tarn,1.8675,1.9195,1.799,0.998,1.8245,,43.771575,2.183245,2
81130 Cagnac-les-Mines,Occitanie,Tarn,1.824,1.863,,,1.774,,43.989,2.139,1
81150 Marssac-sur-Tarn,Occitanie,Tarn,1.923,1.99,,,1.917,,43.919,2.029,1
81160 Saint-Juéry,Occitanie,Tarn,1.83,1.855,1.832,,,,43.9503922196,2.20999332738,1
81170 Livers-Cazelles,Occitanie,Tarn,1.99,,,1.215,1.962,,44.059,1.966,1
81190 Mirandol-Bourgnounac,Occitanie,Tarn,,,,,,,44.13775,2.16595,1
81190 Pampelonne,Occitanie,Tarn,1.859,,,1.099,1.799,,44.081,2.235,1
81200 Aussillon,Occitanie,Tarn,1.9104999999999999,1.9286666666666665,1.9625,0.999,1.8094999999999999,0.915,43.50697122246,2.3621882766559,4
81220 Guitalens-L'Albarède,Occitanie,Tarn,1.99,1.99,1.99,,,,43.643165198277,2.0464252991719,1
81230 Lacaune,Occitanie,Tarn,1.825,,,1.115,1.795,,43.71049931350001,2.7034962984149997,2
81250 Alban,Occitanie,Tarn,1.8925,1.899,1.947,,1.879,,43.886026725,2.4667794250000004,2
81260 Brassac,Occitanie,Tarn,1.891,1.909,,,1.849,,43.6269699556,2.4816903384750004,2
81290 Labruguière,Occitanie,Tarn,1.9224999999999999,1.99,1.9125,0.998,1.785,,43.54365,2.2677199999999997,2
81300 Graulhet,Occitanie,Tarn,1.86175,1.853,1.905,0.9973333333333333,1.7543333333333333,,43.762172948199996,1.97532102294,4
81310 Lisle-sur-Tarn,Occitanie,Tarn,1.842,1.907,1.875,,1.807,,43.857,1.8075,2
81320 Murat-sur-Vèbre,Occitanie,Tarn,1.848,1.884,1.839,,,,43.68311647,2.85989826,1
81370 Saint-Sulpice-la-Pointe,Occitanie,Tarn,1.906,1.9193333333333333,1.9195,0.9964999999999999,1.8535,0.929,43.766283032500006,1.6771521485999998,4
81380 Lescure-d'Albigeois,Occitanie,Tarn,1.802,1.831,,0.949,1.758,,43.955,2.156,1
81400 Blaye-les-Mines,Occitanie,Tarn,1.812,1.885,,0.998,1.765,1.039,44.027,2.155,1
81400 Carmaux,Occitanie,Tarn,1.8755000000000002,,1.954,0.998,1.765,,44.04987,2.1589799999999997,2
81430 Villefranche-d'Albigeois,Occitanie,Tarn,1.98,,1.99,,,,43.89489,2.34154,1
81500 Lavaur,Occitanie,Tarn,1.8416666666666668,1.9086666666666667,,1.014,1.7953333333333334,1.029,43.702850000000005,1.8114233333333332,3
81540 Sorèze,Occitanie,Tarn,1.849,1.899,,1.059,1.789,,43.45,2.064,1
81580 Soual,Occitanie,Tarn,1.829,1.879,,1.089,1.769,,43.566,2.13,1
81600 Brens,Occitanie,Tarn,1.8635,1.833,,0.971,1.8245,,43.8825,1.9125,2
81600 Gaillac,Occitanie,Tarn,1.8995,1.921,1.9024999999999999,0.998,,,43.9055,1.894,2
81600 Montans,Occitanie,Tarn,1.856,1.866,,,1.809,,43.84234,1.84632,1
81660 Bout-du-Pont-de-Larn,Occitanie,Tarn,1.849,1.86,1.85,,1.78,,43.498,2.4,1
81700 Puylaurens,Occitanie,Tarn,1.8639999999999999,1.9645,1.995,0.999,1.769,,43.566469999999995,2.006475,2
81710 Saïx,Occitanie,Tarn,1.833,1.887,,1.089,1.817,,43.58591,2.17207,1
81800 Coufouleux,Occitanie,Tarn,1.799,1.839,,0.998,1.768,,43.795687,1.756095,1
81800 Rabastens,Occitanie,Tarn,1.814,1.839,1.839,1.0385,1.768,,43.829875,1.73908,2
81990 Le Sequestre,Occitanie,Tarn,1.8705,1.864,,0.998,1.782,,43.914500000000004,2.1205,2
81990 Puygouzon,Occitanie,Tarn,1.8,1.834,1.814,0.949,,,43.89247502999999,2.16522366,1
82000 Montauban,Occitanie,Tarn-et-Garonne,1.8472222222222223,1.875875,1.9186666666666667,0.9704999999999999,1.797875,0.9465,44.01740177803311,1.3533027429488886,9
82100 Castelsarrasin,Occitanie,Tarn-et-Garonne,1.87575,1.92075,1.813,0.9835,1.8455,0.965,44.05162955960026,1.1048496403067,4
82110 Cazes-Mondenard,Occitanie,Tarn-et-Garonne,1.89,,,,1.87,,44.235,1.207,1
82110 Lauzerte,Occitanie,Tarn-et-Garonne,1.849,1.889,,0.998,1.819,,44.261,1.145,1
82120 Lavit,Occitanie,Tarn-et-Garonne,1.91,2.02,1.91,,,,43.959,0.921,1
82130 Lafrançaise,Occitanie,Tarn-et-Garonne,1.889,1.913,1.869,,,,44.125427426197,1.2295896220207,1
82130 Lamothe-Capdeville,Occitanie,Tarn-et-Garonne,1.849,1.879,,,1.789,,44.07564,1.37073,1
82140 Saint-Antonin-Noble-Val,Occitanie,Tarn-et-Garonne,1.859,1.889,,,1.779,,44.15,1.749,1
82150 Montaigu-de-Quercy,Occitanie,Tarn-et-Garonne,1.829,1.873,1.834,,,,44.337,1.019,1
82160 Caylus,Occitanie,Tarn-et-Garonne,1.85,1.87,1.84,,,,44.2314,1.75828,1
82160 Parisot,Occitanie,Tarn-et-Garonne,1.912,,1.957,,,,44.2778249504,1.8577940301800002,1
82170 Grisolles,Occitanie,Tarn-et-Garonne,1.839,1.869,1.859,,,,43.8241,1.28994,1
82170 Pompignan,Occitanie,Tarn-et-Garonne,1.99,,1.99,,1.99,,43.813,1.316,1
82200 Moissac,Occitanie,Tarn-et-Garonne,1.87475,1.9344999999999999,1.849,1.00475,1.8515,0.969,44.11236185352524,1.10687738136135,4
82210 Saint-Nicolas-de-la-Grave,Occitanie,Tarn-et-Garonne,1.9376666666666666,1.9743333333333333,1.879,1.133,1.9355,1.06,44.0565632,1.0167338592233668,3
82220 Vazerac,Occitanie,Tarn-et-Garonne,1.899,1.999,,,1.949,,44.19,1.285,1
82240 Septfonds,Occitanie,Tarn-et-Garonne,1.858,1.888,,,1.798,,44.17787,1.62304,1
82270 Montalzat,Occitanie,Tarn-et-Garonne,1.99,1.99,,1.259,1.99,1.054,44.23161,1.52955,1
82290 La Ville-Dieu-du-Temple,Occitanie,Tarn-et-Garonne,1.849,1.889,,0.998,1.799,,44.034,1.219,1
82290 Montbeton,Occitanie,Tarn-et-Garonne,1.91,,1.9,1.12,,,44.012,1.287,1
82300 Caussade,Occitanie,Tarn-et-Garonne,1.858,1.908,,0.998,1.788,,44.155167300955995,1.52861766964635,2
82300 Monteils,Occitanie,Tarn-et-Garonne,1.858,1.888,,,1.778,,44.163236644503,1.5525246704278999,1
82350 Albias,Occitanie,Tarn-et-Garonne,1.849,1.879,,,1.789,,44.09,1.447,1
82370 Campsas,Occitanie,Tarn-et-Garonne,1.839,,,1.089,1.819,,43.899215466932006,1.3109821834536,1
82370 Labastide-Saint-Pierre,Occitanie,Tarn-et-Garonne,1.859,1.9005,1.898,1.067,1.849,,43.915023930552,1.3484182063496999,3
82400 Golfech,Occitanie,Tarn-et-Garonne,1.89,1.97,,,1.89,,44.114,0.851,1
82400 Valence,Occitanie,Tarn-et-Garonne,1.897,1.939,1.8995,1.0895,1.8526666666666667,,44.10994944835025,0.884849190950435,4
82410 Saint-Étienne-de-Tulmont,Occitanie,Tarn-et-Garonne,1.849,1.85,,,1.779,,44.049,1.463,1
82440 Réalville,Occitanie,Tarn-et-Garonne,1.918,1.99,,0.994,1.925,,44.116,1.48,1
82500 Beaumont-de-Lomagne,Occitanie,Tarn-et-Garonne,1.874,1.8940000000000001,1.869,,1.799,,43.8848897482825,0.9996726139219401,2
82500 Gimat,Occitanie,Tarn-et-Garonne,1.99,1.99,,1.169,1.939,,43.851,0.941,1
82600 Aucamville,Occitanie,Tarn-et-Garonne,1.99,,1.99,,1.959,,43.8,1.221,1
82600 Saint-Sardos,Occitanie,Tarn-et-Garonne,1.91,,1.9,1.12,,,43.896873309408,1.1336573166716999,1
82600 Verdun-sur-Garonne,Occitanie,Tarn-et-Garonne,1.8439999999999999,1.884,1.859,,1.819,,43.84626,1.2337099999999999,2
82700 Escatalens,Occitanie,Tarn-et-Garonne,1.91,1.99,1.9,,,,43.986,1.194,1
82700 Finhan,Occitanie,Tarn-et-Garonne,1.939,1.899,,,1.859,,43.914,1.224,1
82700 Montech,Occitanie,Tarn-et-Garonne,1.9195,1.889,1.99,0.998,1.799,0.969,43.96,1.2335,2
82710 Bressols,Occitanie,Tarn-et-Garonne,2.014,2.114,,,2.004,,43.968,1.339,1
82800 Nègrepelisse,Occitanie,Tarn-et-Garonne,1.869,1.889,1.869,,1.789,,44.075935,1.5444399999999998,2
83000 Toulon,Provence-Alpes-Côte d'Azur,Var,1.8566666666666667,1.9133333333333333,,1.0265,1.8229999999999997,1.0015,43.118170486033335,5.937534128119999,3
83100 Toulon,Provence-Alpes-Côte d'Azur,Var,1.90075,1.96725,1.845,0.994,1.8645,,43.1229462,5.953183749999999,4
83110 Sanary-sur-Mer,Provence-Alpes-Côte d'Azur,Var,1.809,1.867,,0.994,1.786,,43.124,5.792,1
83120 Sainte-Maxime,Provence-Alpes-Côte d'Azur,Var,1.8233333333333333,1.8315000000000001,,1.109,1.78,,43.31133333333333,6.63,3
83130 La Garde,Provence-Alpes-Côte d'Azur,Var,1.897,1.9355,1.847,1.089,1.919,1.099,43.13299151264875,6.0171679735637245,4
83130 La Valette-du-Var,Provence-Alpes-Côte d'Azur,Var,1.842,,1.838,0.999,1.799,,43.136590241,5.99372388916,1
83136 Forcalqueiret,Provence-Alpes-Côte d'Azur,Var,1.912,1.99,1.924,,,,43.336855,6.081944999999999,2
83136 Garéoult,Provence-Alpes-Côte d'Azur,Var,1.954,1.99,1.926,,,,43.33024,6.04965,1
83136 Rocbaron,Provence-Alpes-Côte d'Azur,Var,1.883,1.939,,0.991,1.8465,,43.317,6.074999999999999,2
83140 Six-Fours-les-Plages,Provence-Alpes-Côte d'Azur,Var,1.8375999999999997,1.8844,1.809,1.00275,1.8084,,43.09849200000001,5.831282,5
83150 Bandol,Provence-Alpes-Côte d'Azur,Var,1.8039999999999998,1.854,,,1.7839999999999998,,43.151663319183,5.75440883781235,2
83160 La Valette-du-Var,Provence-Alpes-Côte d'Azur,Var,1.86625,1.9060000000000001,1.828,,1.82625,1.099,43.13864704930175,6.005342446825851,4
83170 Brignoles,Provence-Alpes-Côte d'Azur,Var,1.875,1.9228333333333332,1.749,1.0786666666666667,1.843,1.074,43.410208475537665,6.0498751315999,6
83170 Tourves,Provence-Alpes-Côte d'Azur,Var,1.9495,1.955,1.9,1.1695000000000002,1.99,,43.41656150705,5.9459423096599995,2
83190 Ollioules,Provence-Alpes-Côte d'Azur,Var,1.82225,1.889,1.8370000000000002,0.998,1.7836666666666667,,43.12664,5.847807500000001,4
83200 Toulon,Provence-Alpes-Côte d'Azur,Var,1.909,1.985666666666667,1.989,,1.849,,43.13153083666666,5.898392779999999,3
83210 La Farlède,Provence-Alpes-Côte d'Azur,Var,1.8385,1.8695,1.823,1.049,1.8039999999999998,,43.161255,6.05429,2
83210 Solliès-Pont,Provence-Alpes-Côte d'Azur,Var,1.949,1.989,1.939,1.169,1.8940000000000001,,43.20268544171,6.0486805192310005,2
83210 Solliès-Ville,Provence-Alpes-Côte d'Azur,Var,1.849,1.886,,1.049,1.825,,43.1755842898,6.04741127257,1
83220 Le Pradet,Provence-Alpes-Côte d'Azur,Var,1.861,1.936,,,1.856,,43.107,6.027,1
83230 Bormes-les-Mimosas,Provence-Alpes-Côte d'Azur,Var,1.794,1.853,,1.079,1.793,,43.1419455459,6.34826188605,1
83230 Le Lavandou,Provence-Alpes-Côte d'Azur,Var,1.919,1.939,,1.089,1.879,,43.139,6.353,1
83240 Cavalaire-sur-Mer,Provence-Alpes-Côte d'Azur,Var,1.83,1.817,1.859,,1.7915,,43.177,6.5344999999999995,2
83250 La Londe-les-Maures,Provence-Alpes-Côte d'Azur,Var,1.969,2.0226666666666664,,1.229,1.938,,43.139823905431754,6.232491250851725,4
83260 La Crau,Provence-Alpes-Côte d'Azur,Var,1.89025,1.94025,1.778,1.0739999999999998,1.8655,1.149,43.143499999999996,6.065,4
83270 Saint-Cyr-sur-Mer,Provence-Alpes-Côte d'Azur,Var,1.9445000000000001,1.9595,,,1.9195,,43.18095253804999,5.703905982745001,2
83300 Draguignan,Provence-Alpes-Côte d'Azur,Var,1.8828333333333334,1.9408,2.0195,1.072,1.847,0.979,43.531,6.4526666666666666,6
83310 Cogolin,Provence-Alpes-Côte d'Azur,Var,1.7845,1.835,1.782,1.0314999999999999,1.7585,0.964,43.2565,6.556,2
83310 Grimaud,Provence-Alpes-Côte d'Azur,Var,1.909,,1.889,1.089,,,43.265,6.541,1
83320 Carqueiranne,Provence-Alpes-Côte d'Azur,Var,1.839,,,,,,43.09261,6.07816,1
83330 Le Beausset,Provence-Alpes-Côte d'Azur,Var,1.8895,1.9595,,0.994,1.875,,43.197,5.8045,2
83330 Évenos,Provence-Alpes-Côte d'Azur,Var,1.909,1.988,,,1.866,,43.166,5.829,1
83340 Flassans-sur-Issole,Provence-Alpes-Côte d'Azur,Var,1.858,1.888,1.859,0.989,1.818,,43.373,6.203,1
83340 Le Cannet-des-Maures,Provence-Alpes-Côte d'Azur,Var,1.8145,1.873,,0.994,1.7915,,43.393444195650005,6.33810103634,2
83340 Le Luc,Provence-Alpes-Côte d'Azur,Var,1.7854999999999999,1.854,1.78,0.974,1.793,0.935,43.38725,6.312645,2
83350 Ramatuelle,Provence-Alpes-Côte d'Azur,Var,1.907,1.99,,1.089,1.914,,43.214,6.645,1
83390 Cuers,Provence-Alpes-Côte d'Azur,Var,1.8833333333333335,1.938,1.849,1.044,1.8523333333333334,,43.23266666666667,6.071333333333333,3
83390 Pierrefeu-du-Var,Provence-Alpes-Côte d'Azur,Var,1.82,1.85,,0.99,1.79,,43.22,6.146,1
83400 Hyères,Provence-Alpes-Côte d'Azur,Var,1.850875,1.9649999999999999,1.7939999999999998,1.0775000000000001,1.8195000000000001,0.949,43.11048390260863,6.130935168388299,8
83420 La Croix-Valmer,Provence-Alpes-Côte d'Azur,Var,1.804,,,1.098,,,43.18471,6.59845,1
83440 Callian,Provence-Alpes-Côte d'Azur,Var,1.89,1.962,1.91,1.148,,,43.607,6.749,1
83440 Fayence,Provence-Alpes-Côte d'Azur,Var,1.99,1.99,1.99,,,,43.622,6.691,1
83440 Montauroux,Provence-Alpes-Côte d'Azur,Var,1.846,1.905,1.779,0.994,1.819,,43.6064739656535,6.765294827064601,2
83440 Tourrettes,Provence-Alpes-Côte d'Azur,Var,1.869,1.899,,0.99,1.829,,43.624,6.702,1
83460 Les Arcs,Provence-Alpes-Côte d'Azur,Var,1.785,1.829,1.809,0.989,1.779,,43.4495,6.48,2
83470 Saint-Maximin-la-Sainte-Baume,Provence-Alpes-Côte d'Azur,Var,1.81775,1.8735,,0.9964999999999999,1.80975,0.964,43.4478704075,5.863026745,4
83480 Puget-sur-Argens,Provence-Alpes-Côte d'Azur,Var,1.862,1.9329999999999998,1.79,1.064,1.84025,1.054,43.452462272954754,6.6895082979387,4
83490 Le Muy,Provence-Alpes-Côte d'Azur,Var,1.87,1.9535,1.988,1.059,1.866,,43.470123513034,6.565164225054775,4
83500 La Seyne-sur-Mer,Provence-Alpes-Côte d'Azur,Var,1.8179999999999998,1.8556666666666668,1.805,1.0519999999999998,1.7815,0.89,43.10118166666667,5.873038333333333,6
83510 Lorgues,Provence-Alpes-Côte d'Azur,Var,1.8883333333333334,1.9295,1.819,,1.892,,43.48333333333333,6.362666666666667,3
83520 Roquebrune-sur-Argens,Provence-Alpes-Côte d'Azur,Var,1.9095,1.92,,,1.8865,,43.45016458255,6.6469758179700005,2
83550 Vidauban,Provence-Alpes-Côte d'Azur,Var,1.9489999999999998,2.013333333333333,,1.324,1.9323333333333332,1.0885,43.419343909927996,6.449386367749999,3
83560 Ginasservis,Provence-Alpes-Côte d'Azur,Var,1.879,1.899,,0.998,1.829,,43.673828509983004,5.8477935939865,1
83560 Rians,Provence-Alpes-Côte d'Azur,Var,1.908,1.99,1.889,,1.8940000000000001,,43.608297500700004,5.7534752759500005,2
83560 Vinon-sur-Verdon,Provence-Alpes-Côte d'Azur,Var,1.9304999999999999,2.005,2.09,1.064,1.8716666666666668,,43.72842258034724,5.8099410956835005,4
83570 Carcès,Provence-Alpes-Côte d'Azur,Var,1.919,,1.919,,1.889,,43.47373,6.17634,1
83570 Cotignac,Provence-Alpes-Côte d'Azur,Var,1.919,1.929,1.909,,1.899,,43.525999999999996,6.1505,2
83570 Montfort-sur-Argens,Provence-Alpes-Côte d'Azur,Var,1.899,1.899,,,1.849,,43.473214680000005,6.12454725,1
83580 Cogolin,Provence-Alpes-Côte d'Azur,Var,1.909,1.928,,,1.857,0.999,43.263,6.583,1
83580 Gassin,Provence-Alpes-Côte d'Azur,Var,1.788,1.827,,,1.758,0.969,43.262,6.578,1
83590 Gonfaron,Provence-Alpes-Côte d'Azur,Var,1.839,1.869,,0.999,1.809,,43.316,6.275,1
83600 Bagnols-en-Forêt,Provence-Alpes-Côte d'Azur,Var,1.929,,1.909,,1.879,,43.53923099000001,6.709598199999999,1
